Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, cs_warm_up=False, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', epoch_start_cs=224, hard_weight=0.5, input_size=224, label_smoothing=True, last_conv_after_pooling=True, last_gamma=False, log_interval=50, logging_file='shufflenas_fixarch_se_mnv3.log', lr=0.4875, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='ShuffleNas_fixArch', momentum=0.9, no_wd=True, num_epochs=360, num_gpus=3, num_workers=8, rec_train='/home/yaoxi/imagenet/rec/train.rec', rec_train_idx='/home/yaoxi/imagenet/rec/train.idx', rec_val='/home/yaoxi/imagenet/rec/val.rec', rec_val_idx='/home/yaoxi/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_shufflenas_fixarch_se_mnv3', save_frequency=10, teacher=None, temperature=20, use_all_blocks=False, use_all_channels=False, use_gn=False, use_pretrained=False, use_rec=True, use_se=True, warmup_epochs=10, warmup_lr=0.0, wd=3e-05)
Epoch[0] Batch [49]	Speed: 1115.021434 samples/sec	accuracy=0.000729	lr=0.000731
Epoch[0] Batch [99]	Speed: 1594.080117 samples/sec	accuracy=0.000964	lr=0.001461
Epoch[0] Batch [149]	Speed: 1610.318434 samples/sec	accuracy=0.000868	lr=0.002192
Epoch[0] Batch [199]	Speed: 1596.264647 samples/sec	accuracy=0.000872	lr=0.002923
Epoch[0] Batch [249]	Speed: 1571.900873 samples/sec	accuracy=0.000854	lr=0.003653
Epoch[0] Batch [299]	Speed: 1577.134183 samples/sec	accuracy=0.000894	lr=0.004384
Epoch[0] Batch [349]	Speed: 1546.798720 samples/sec	accuracy=0.000952	lr=0.005115
Epoch[0] Batch [399]	Speed: 1569.154421 samples/sec	accuracy=0.001003	lr=0.005845
Epoch[0] Batch [449]	Speed: 1588.846806 samples/sec	accuracy=0.001030	lr=0.006576
Epoch[0] Batch [499]	Speed: 1578.894514 samples/sec	accuracy=0.001031	lr=0.007307
Epoch[0] Batch [549]	Speed: 1571.623553 samples/sec	accuracy=0.001056	lr=0.008038
Epoch[0] Batch [599]	Speed: 1582.843893 samples/sec	accuracy=0.001111	lr=0.008768
Epoch[0] Batch [649]	Speed: 1566.398598 samples/sec	accuracy=0.001150	lr=0.009499
Epoch[0] Batch [699]	Speed: 1588.330868 samples/sec	accuracy=0.001194	lr=0.010230
Epoch[0] Batch [749]	Speed: 1577.145334 samples/sec	accuracy=0.001233	lr=0.010960
Epoch[0] Batch [799]	Speed: 1570.551486 samples/sec	accuracy=0.001276	lr=0.011691
Epoch[0] Batch [849]	Speed: 1547.775080 samples/sec	accuracy=0.001314	lr=0.012422
Epoch[0] Batch [899]	Speed: 1568.961759 samples/sec	accuracy=0.001334	lr=0.013152
Epoch[0] Batch [949]	Speed: 1538.604800 samples/sec	accuracy=0.001371	lr=0.013883
Epoch[0] Batch [999]	Speed: 1568.078726 samples/sec	accuracy=0.001409	lr=0.014614
Epoch[0] Batch [1049]	Speed: 1552.301403 samples/sec	accuracy=0.001461	lr=0.015344
Epoch[0] Batch [1099]	Speed: 1582.897965 samples/sec	accuracy=0.001461	lr=0.016075
Epoch[0] Batch [1149]	Speed: 1559.087332 samples/sec	accuracy=0.001508	lr=0.016806
Epoch[0] Batch [1199]	Speed: 1564.345254 samples/sec	accuracy=0.001534	lr=0.017536
Epoch[0] Batch [1249]	Speed: 1566.102932 samples/sec	accuracy=0.001540	lr=0.018267
Epoch[0] Batch [1299]	Speed: 1588.935085 samples/sec	accuracy=0.001571	lr=0.018998
Epoch[0] Batch [1349]	Speed: 1547.512065 samples/sec	accuracy=0.001615	lr=0.019729
Epoch[0] Batch [1399]	Speed: 1561.800292 samples/sec	accuracy=0.001633	lr=0.020459
Epoch[0] Batch [1449]	Speed: 1567.708596 samples/sec	accuracy=0.001656	lr=0.021190
Epoch[0] Batch [1499]	Speed: 1556.676209 samples/sec	accuracy=0.001707	lr=0.021921
Epoch[0] Batch [1549]	Speed: 1573.045576 samples/sec	accuracy=0.001747	lr=0.022651
Epoch[0] Batch [1599]	Speed: 1576.972012 samples/sec	accuracy=0.001787	lr=0.023382
Epoch[0] Batch [1649]	Speed: 1581.889980 samples/sec	accuracy=0.001840	lr=0.024113
Epoch[0] Batch [1699]	Speed: 1579.423884 samples/sec	accuracy=0.001906	lr=0.024843
Epoch[0] Batch [1749]	Speed: 1577.223483 samples/sec	accuracy=0.001964	lr=0.025574
Epoch[0] Batch [1799]	Speed: 1574.588112 samples/sec	accuracy=0.002024	lr=0.026305
Epoch[0] Batch [1849]	Speed: 1556.318180 samples/sec	accuracy=0.002114	lr=0.027035
Epoch[0] Batch [1899]	Speed: 1542.593791 samples/sec	accuracy=0.002211	lr=0.027766
