op_name                                    inp_size   kernel_size   in channels  out channels  params(MBytes)   mults(M)    adds(M)     MFLOPS
=============================================================================================================================
first_conv_fwd                                  224             3             3            16           0.001      5.419      5.218     10.637
hardswish0__plusscalar0                         112            -1            16            16           0.000      0.000      0.201      0.201
hardswish0__clip                                112            -1            16            16           0.000      0.201      0.000      0.201
hardswish0__divscalar0                          112            -1            16            16           0.000      0.201      0.000      0.201
hardswish0__mul0                                112            -1            16            16           0.000      0.201      0.000      0.201
SNB0_conv3_fwd                                  112             3            16             1           0.000      0.452      0.401      0.853
SNB0_conv4_fwd                                   56             1            16            16           0.001      0.803      0.753      1.555
SNB0_relu2_fwd                                   56            -1            16            16           0.000      0.050      0.000      0.050
SNB0_conv0_fwd                                  112             1            16            44           0.001      8.831      8.279     17.110
SNB0_relu0_fwd                                  112            -1            44            44           0.000      0.552      0.000      0.552
SNB0_conv1_fwd                                  112             3            44             1           0.001      1.242      1.104      2.346
SNB0_conv2_fwd                                   56             1            44            48           0.004      6.623      6.473     13.096
SNB0_relu1_fwd                                   56            -1            48            48           0.000      0.151      0.000      0.151
SNB1_conv0_fwd                                   56             1            32            38           0.002      3.813      3.694      7.508
SNB1_relu0_fwd                                   56            -1            38            38           0.000      0.119      0.000      0.119
SNB1_conv1_fwd                                   56             3            38             1           0.001      1.073      0.953      2.026
SNB1_conv2_fwd                                   56             1            38            32           0.002      3.813      3.713      7.526
SNB1_relu1_fwd                                   56            -1            32            32           0.000      0.100      0.000      0.100
SNB2_conv0_fwd                                   56             3            32             1           0.001      0.903      0.803      1.706
SNB2_conv1_fwd                                   56             1            32            25           0.002      2.509      2.430      4.939
SNB2_relu0_fwd                                   56            -1            25            25           0.000      0.078      0.000      0.078
SNB2_conv2_fwd                                   56             3            25             1           0.000      0.706      0.627      1.333
SNB2_conv3_fwd                                   56             1            25            25           0.001      1.960      1.882      3.842
SNB2_relu1_fwd                                   56            -1            25            25           0.000      0.078      0.000      0.078
SNB2_conv4_fwd                                   56             3            25             1           0.000      0.706      0.627      1.333
SNB2_conv5_fwd                                   56             1            25            32           0.002      2.509      2.408      4.917
SNB2_relu2_fwd                                   56            -1            32            32           0.000      0.100      0.000      0.100
SNB3_conv0_fwd                                   56             1            32            38           0.002      3.813      3.694      7.508
SNB3_relu0_fwd                                   56            -1            38            38           0.000      0.119      0.000      0.119
SNB3_conv1_fwd                                   56             5            38             1           0.002      2.979      2.860      5.839
SNB3_conv2_fwd                                   56             1            38            32           0.002      3.813      3.713      7.526
SNB3_relu1_fwd                                   56            -1            32            32           0.000      0.100      0.000      0.100
SNB4_conv3_fwd                                   56             5            64             1           0.003      1.254      1.204      2.459
SNB4_conv4_fwd                                   28             1            64            64           0.008      3.211      3.161      6.372
SNB4_hardswish2__plusscalar0                     28            -1            64            64           0.000      0.000      0.050      0.050
SNB4_hardswish2__clip                            28            -1            64            64           0.000      0.050      0.000      0.050
SNB4_hardswish2__divscalar0                      28            -1            64            64           0.000      0.050      0.000      0.050
SNB4_hardswish2__mul0                            28            -1            64            64           0.000      0.050      0.000      0.050
SNB4_conv0_fwd                                   56             1            64            48           0.006      9.634      9.483     19.117
